step,previous_phase5,current_phase6
1,0.217,0.215
2,0.225,0.25
3,0.236,0.266
4,0.271,0.248
5,0.221,0.238
6,0.244,0.264
7,0.205,0.252
8,0.223,0.219
9,0.244,0.299
10,0.268,0.264
11,0.232,0.232
12,0.236,0.256
13,0.277,0.258
14,0.232,0.224
15,0.266,0.266
16,0.209,0.232
17,0.217,0.246
18,0.228,0.213
19,0.264,0.238
20,0.269,0.219
21,0.23,0.285
22,0.215,0.23
23,0.262,0.261
24,0.229,0.228
25,0.246,0.257
26,0.26,0.237
27,0.256,0.225
28,0.273,0.229
29,0.254,0.273
30,0.25,0.247
31,0.277,0.279
32,0.263,0.266
33,0.244,0.293
34,0.265,0.272
35,0.226,0.331
36,0.3,0.325
37,0.282,0.268
38,0.264,0.278
39,0.248,0.301
40,0.254,0.317
41,0.297,0.287
42,0.287,0.256
43,0.249,0.316
44,0.333,0.33
45,0.241,0.289
46,0.265,0.324
47,0.273,0.291
48,0.274,0.288
49,0.255,0.298
50,0.296,0.325
51,0.288,0.312
52,0.259,0.324
53,0.252,0.321
54,0.309,0.323
55,0.268,0.351
56,0.263,0.314
57,0.262,0.328
58,0.324,0.335
59,0.273,0.309
60,0.273,0.318
61,0.256,0.338
62,0.287,0.326
63,0.276,0.312
64,0.27,0.33
65,0.277,0.341
66,0.283,0.345
67,0.337,0.323
68,0.3,0.319
69,0.319,0.352
70,0.311,0.342
71,0.296,0.341
72,0.315,0.298
73,0.304,0.337
74,0.272,0.362
75,0.344,0.346
76,0.334,0.38
77,0.32,0.359
78,0.292,0.349
79,0.323,0.371
80,0.344,0.347
81,0.267,0.332
82,0.268,0.316
83,0.313,0.375
84,0.296,0.351
85,0.318,0.335
86,0.275,0.352
87,0.268,0.373
88,0.294,0.35
89,0.331,0.382
90,0.305,0.359
91,0.309,0.373
92,0.329,0.349
93,0.303,0.356
94,0.325,0.352
95,0.301,0.371
96,0.318,0.347
97,0.307,0.385
98,0.337,0.369
99,0.339,0.395
100,0.372,0.384
101,0.329,0.379
102,0.338,0.355
103,0.336,0.369
104,0.323,0.382
105,0.322,0.388
106,0.294,0.402
107,0.303,0.401
108,0.327,0.413
109,0.339,0.392
110,0.354,0.422
111,0.372,0.431
112,0.32,0.422
113,0.328,0.433
114,0.338,0.379
115,0.353,0.419
116,0.36,0.399
117,0.339,0.366
118,0.355,0.411
119,0.373,0.413
120,0.383,0.395
121,0.378,0.412
122,0.394,0.395
123,0.402,0.4
124,,0.39
125,,0.391
126,,0.379
127,,0.398
128,,0.375
129,,0.402
130,,0.383
131,,0.443
132,,0.441
133,,0.409
134,,0.406
135,,0.409
136,,0.444
137,,0.418
138,,0.426
